INDEX,BUILDING,LEVEL,TRADE,INT CODE,Discipline,DWG REF,ZONE,GRID X1,GRID X2,GRID Y1,GRID Y2,GT CODE,KEY,ISSUE,OPENING DATE,STATUS,ACTION BY DATE,LAST CHANGE OF STATUS,ACTION / SUBJECT TO,BY NAME,ORG
20531,SWI,L05,GT,E22,MEP,CCAD-AED-DG_M/E/P/SD-205E,E,8,9,AK,AL,B,MEP,CORNER ISSUE OF THE PARTITION & MEP,1/15/10,OPEN,,,ETA TO CHECK,RAGHU,ETA
20548,SWI,L05,GT,F17,MEP,CCAD-AED-DG_M/E/P/SD-205F,F,9,10,AJ,AJ,B,MEP,MEP CLASH WITH STEEL,1/15/10,OPEN,,,ETA TO CHECK,RAGHU,ETA
30262,PG,P2,GT,1,CONC/ARCH,CCAD-AED-DG_A-2P2K,B,11,12,AQ,AR,GT_CODE,none,Revise concrete wall and finishing.,6/15/10,OPEN,,9/15/10,To comply with IFC drawing (arch): AREP - DDD.,Phillip,AREP
30001,GAL,P3,GT,1,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7,AB,AB,,none,Wall and slab in different planes,10/9/10,CLOSED,12/14/10,,Solved by AREP,,DDD
30002,GAL,P3,GT,2,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7.5,8,AA,Z,,none,Slab collides with wall,10/9/10,OPEN,,,Adjust concrete model,Rosendo,DDD
30003,GAL,P3,GT,3,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,2,6,AD,AE,,none,Slab doesn't reach the wall,10/9/10,OPEN,,,Adjust concrete model,Rosendo,DDD
30004,GAL,P3,GT,4,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7.5,AA,AB,,none,Slab edge and partition well at different planes,10/9/10,CLOSED,,,Solved by AREP,,DDD
30005,GAL,P3,GT,5,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,6,6,AB,AB,,none,Column partitions at different heights,10/9/10,CLOSED,,,Solved by AREP,,DDD
30006,GAL,P3,GT,6,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7.5,AB,AC,,none,Check wall types,10/9/10,CLOSED,,,,,DDD
30007,GAL,P3,GT,7,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7.5,AC,AD,,none,Wall should have openings for elevator doors,10/9/10,CLOSED,,,,,DDD
30008,GAL,P3,GT,8,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,8,9,AD,Z,,none,Incomplete model. Missing steel columns and division walls.,10/9/10,CLOSED,,,Redundant with 30010,,DDD
30009,GAL,P3,GT,9,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,6.5,7.5,AA,Z,,none,Slab clashes with wall,10/9/10,OPEN,,,Adjust concrete model,Rosendo,DDD
30010,GAL,P3,GT,10,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,8,9,AA,Z,,none,Incomplete model. Missing steel columns and division walls.,10/9/10,OPEN,,,Adjust concrete model,Mahesh/Phillip,EVS
30011,GAL,P3,GT,11,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,2,7,AA,AE,,none,Incomplete model,10/9/10,CLOSED,,,,,DDD
30012,GAL,P3,GT,12,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,6,7,AD,AC,,none,Missing opening for elevator door,10/9/10,CLOSED,,,Not an issue,,DDD
30013,GAL,P3,GT,13,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,2,5,AB,AA,,none,Incomplete model,10/10/10,OPEN,,,Model expected from the faå¡ade team.,Faå¡ade Team,DDD
30014,GAL,P3,GT,14,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7,AB,AB,,none,Column floating in space in model,10/10/10,CLOSED,,,,,DDD
30015,GAL,P3,GT,15,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7,AB,AB,,none,Different heights of column and partitions,10/10/10,CLOSED,,,,,DDD
30026,GAL,P3,GT,16,CONC/ARCH, CCAD-AED-DG-_A-2P3N,J,6,6.5,Y,Z,,none,Modeling inconsistency - Projection appears as hole in floor,10/10/10,OPEN,,,Confirm existence of trench drainage - Talk to Muhannad.,,SSJV
30016,GAL,P3,GT,1,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,6,6,U,U,,none,Discrepancy in heights of elements (column wall),10/10/10,CLOSED,,,AREP REVISED MODEL,,AREP
30017,GAL,P3,GT,2,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,6,6.5,Y,Z,,none,Partition clashes with concrete wall. Partition/Slab discrepancy,10/10/10,CLOSED,,,AREP UPDATED MODEL,,AREP
30018,GAL,P3,GT,3,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,7,7.5,U,T,,none,Partition heights discrepancy,10/10/10,CLOSED,,,AREP REVISED MODEL,,AREP
30019,GAL,P3,GT,4,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,6.5,7,U,T,,none,Wall should have openings for elevator doors,10/10/10,CLOSED,,,NO ACTION REQUIRED,,AREP
30020,GAL,P3,GT,5,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,7,7.5,S,T,,none,Incomplete model - Missing partitions,10/10/10,CLOSED,,,AREP UPDATED MODEL,,AREP
30021,GAL,P3,GT,6,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,6,7,S,T,,none,Partition heights discrepancy,10/10/10,CLOSED,,,REDUNDANT WITH I-018,,AREP
30022,GAL,P3,GT,7,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,7,7,S,S,,none,Partition heights discrepancy,10/10/10,CLOSED,,,REDUNDANT WITH I-016,,AREP
30023,GAL,P3,GT,8,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,7,7.5,U,T,,none,Concrete and partition at different planes,10/10/10,CLOSED,,,DDD UPDATED MODEL,,DDD
30024,GAL,P3,GT,9,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,6,7.5,U,W,,none,Incomplete model - Missing partitions,10/10/10,CLOSED,,,NO ACTION REQUIRED,,SSJV
30025,GAL,P3,GT,10,CONC/ARCH, CCAD-AED-DG-_A-2P3N,N,6,7.5,W,Z,,none,Incomplete model - Missing partitions,10/10/10,CLOSED,,,NO ACTION REQUIRED,,SSJV
30027,GAL,P3,GT,1,CONC/ARCH, CCAD-AED-DG-_A-2P3S,S,8,9,M,P,,none,Floating Element - Revise model,10/10/10,CLOSED,,,DDD UPDATED MODEL,,DDD
30028,GAL,P3,GT,2,CONC/ARCH, CCAD-AED-DG-_A-2P3S,S,7.5,8,M,N,,none,Slab interruption inconsistent / Incomplete,10/10/10,CLOSED,,,MISSING PART IS MODELED IN THE FOUNDATIONS DDD MODEL,,DDD
30029,GAL,P3,GT,3,CONC/ARCH, CCAD-AED-DG-_A-2P3S,S,6.5,7,P,Q,,none,Wall should have openings for elevator doors,10/10/10,CLOSED,,,NO ACTION REQUIRED,,DDD
30030,GAL,P3,GT,4,CONC/ARCH, CCAD-AED-DG-_A-2P3S,S,7,7.5,P,Q,,none,Revise direction of stairs (inconsistent with dwg),10/10/10,CLOSED,,,NO ACTION REQUIRED,,DDD
30031,GAL,P3,GT,5,CONC/ARCH, CCAD-AED-DG-_A-2P3S,S,7,8,P,Q,,none,Revise levels - Column partitions raising above wall level,10/10/10,CLOSED,,,REVISE HEIGHT OF STAIRS AND COLUMNS (AREP) AGAINST WALL HEIGHTS,,DDD
30032,GAL,P3,GT,6,CONC/ARCH, CCAD-AED-DG-_A-2P3S,S,6,8,M,S,,none,Column partition should integrate with wall,10/10/10,CLOSED,,,REQUEST AREP TO REVISE MODEL,,DDD
