INDEX,BUILDING,LEVEL,TRADE,INT CODE,Discipline,DWG REF,ZONE,GRID X1,GRID X2,GRID Y1,GRID Y2,GT CODE,KEY,ISSUE,OPENING DATE,STATUS,ACTION BY DATE,LAST CHANGE OF STATUS,ACTION / SUBJECT TO,BY NAME,ORG
20531,SWI,L05,GT,E22,MEP,CCAD-AED-DG_M/E/P/SD-205E,E,8,9,AK,AL,B,MEP,CORNER ISSUE OF THE PARTITION & MEP,1/15/10,OPEN,,,ETA TO CHECK,RAGHU,ETA
20548,SWI,L05,GT,F17,MEP,CCAD-AED-DG_M/E/P/SD-205F,F,9,10,AJ,AJ,B,MEP,MEP CLASH WITH STEEL,1/15/10,OPEN,,,ETA TO CHECK,RAGHU,ETA
30262,PG,P2,GT,1,CONC/ARCH,CCAD-AED-DG_A-2P2K,B,11,12,AQ,AR,GT_CODE,none,Revise concrete wall and finishing.,6/15/10,OPEN,,9/15/10,To comply with IFC drawing (arch): AREP - DDD.,Phillip,AREP
30001,GAL,P3,GT,1,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7,AB,AB,,none,Wall and slab in different planes,10/9/10,CLOSED,12/14/10,,Solved by AREP,,DDD
30002,GAL,P3,GT,2,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7.5,8,AA,Z,,none,Slab collides with wall,10/9/10,OPEN,,,Adjust concrete model,Rosendo,ETA
30003,GAL,P3,GT,3,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,2,6,AD,AE,,none,Slab doesn't reach the wall,10/9/10,OPEN,,,Adjust concrete model,Rosendo,ETA
30004,GAL,P3,GT,4,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7.5,AA,AB,,none,Slab edge and partition well at different planes,10/9/10,CLOSED,,,Solved by AREP,,DDD
30005,GAL,P3,GT,5,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,6,6,AB,AB,,none,Column partitions at different heights,10/9/10,CLOSED,,,Solved by AREP,,DDD
30006,GAL,P3,GT,6,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7.5,AB,AC,,none,Check wall types,10/9/10,CLOSED,,,,,EVS
30007,GAL,P3,GT,7,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,7,7.5,AC,AD,,none,Wall should have openings for elevator doors,10/9/10,CLOSED,,,,,EVS
30008,GAL,P3,GT,8,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,8,9,AD,Z,,none,Incomplete model. Missing steel columns and division walls.,10/9/10,CLOSED,,,Redundant with 30010,,DDD
30009,GAL,P3,GT,9,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,6.5,7.5,AA,Z,,none,Slab clashes with wall,10/9/10,OPEN,,,Adjust concrete model,Rosendo,DDD
30010,GAL,P3,GT,10,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,8,9,AA,Z,,none,Incomplete model. Missing steel columns and division walls.,10/9/10,OPEN,,,Adjust concrete model,Mahesh/Phillip,EVS
30011,GAL,P3,GT,11,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,2,7,AA,AE,,none,Incomplete model,10/9/10,CLOSED,,,,,DDD
30012,GAL,P3,GT,12,CONC/ARCH, CCAD-AED-DG-_A-2P3J,J,6,7,AD,AC,,none,Missing opening for elevator door,10/9/10,CLOSED,,,Not an issue,,DDD
